Player,Pos,School,Ht,Wt,40yd,Vertical,Broad Jump,Drafted (tm/rnd/yr)
Luke Fortner,C,Kentucky,76,307,5.21,24,102,Jacksonville Jaguars / 3rd / 65th pick / 2022
Chad Muma,LB,Wyoming,75,239,4.63,40,129,Jacksonville Jaguars / 3rd / 70th pick / 2022
Snoop Conner,RB,Mississippi,70,222,4.59,29.5,118,Jacksonville Jaguars / 5th / 154th pick / 2022
Skyy Moore,WR,Western Michigan,70,195,4.41,34.5,125,Kansas City Chiefs / 2nd / 54th pick / 2022
Leo Chenal,LB,Wisconsin,75,250,4.53,40.5,128,Kansas City Chiefs / 3rd / 103rd pick / 2022
Joshua Williams,CB,Fayetteville St. University,75,195,4.53,36,124,Kansas City Chiefs / 4th / 135th pick / 2022
Darian Kinnard,OG,Kentucky,77,322,5.31,25,99,Kansas City Chiefs / 5th / 145th pick / 2022
Isiah Pacheco,RB,Rutgers,70,216,4.37,33,118,Kansas City Chiefs / 7th / 251st pick / 2022
Dylan Parham,OG,Memphis,75,311,4.93,26.5,108,Las Vegas Raiders / 3rd / 90th pick / 2022
Zamir White,RB,Georgia,73,214,4.4,33.5,128,Las Vegas Raiders / 4th / 122nd pick / 2022
Matthew Butler,DT,Tennessee,76,297,5,32,112,Las Vegas Raiders / 5th / 175th pick / 2022
Thayer Munford,OT,Ohio St.,78,328,5.39,22,104,Las Vegas Raiders / 7th / 238th pick / 2022
Zion Johnson,OG,Boston Col.,75,312,5.18,32,112,Los Angeles Chargers / 1st / 17th pick / 2022
JT Woods,S,Baylor,74,195,4.36,39.5,128,Los Angeles Chargers / 3rd / 79th pick / 2022
Logan Bruss,OG,Wisconsin,77,309,5.32,31,112,Los Angeles Rams / 3rd / 104th pick / 2022
Kyren Williams,RB,Notre Dame,69,194,4.65,32,116,Los Angeles Rams / 5th / 164th pick / 2022
Channing Tindall,LB,Georgia,74,230,4.47,42,129,Miami Dolphins / 3rd / 102nd pick / 2022
Skylar Thompson,QB,Kansas St.,74,217,4.91,31,112,Miami Dolphins / 7th / 247th pick / 2022
Lewis Cine,S,Georgia,74,199,4.37,36.5,133,Minnesota Vikings / 1st / 32nd pick / 2022
Ed Ingram,OG,LSU,75,307,5.02,20.5,102,Minnesota Vikings / 2nd / 59th pick / 2022
Brian Asamoah,LB,Oklahoma,73,226,4.56,36.5,124,Minnesota Vikings / 3rd / 66th pick / 2022
Akayleb Evans,CB,Missouri,74,197,4.46,36,129,Minnesota Vikings / 4th / 118th pick / 2022
Tykevious Chandler,RB,North Carolina,71,204,4.38,31,121,Minnesota Vikings / 5th / 169th pick / 2022
Vederian Lowe,OT,Illinois,77,314,5.22,25.5,99,Minnesota Vikings / 6th / 184th pick / 2022
Jalen Nailor,WR,Michigan St.,71,186,4.5,38,128,Minnesota Vikings / 6th / 191st pick / 2022
Cole Strange,OG,Tennessee-Chattanooga,77,307,5.03,28,120,New England Patriots / 1st / 29th pick / 2022
Tyquan Thornton,WR,Baylor,74,181,4.28,36.5,130,New England Patriots / 2nd / 50th pick / 2022
Pierre Strong,RB,South Dakota St.,71,207,4.37,36,124,New England Patriots / 4th / 127th pick / 2022
Bailey Zappe,QB,Western Kentucky,73,215,4.88,30,109,New England Patriots / 4th / 137th pick / 2022
Chasen Hines,C,LSU,75,327,5.22,30.5,108,New England Patriots / 6th / 210th pick / 2022
Chris Olave,WR,Ohio St.,73,187,4.39,32,124,New Orleans Saints / 1st / 11th pick / 2022
Trevor Penning,OT,Northern Iowa,79,325,4.89,28,111,New Orleans Saints / 1st / 19th pick / 2022
Alontae Taylor,CB,Tennessee,73,199,4.36,34.5,128,New Orleans Saints / 2nd / 49th pick / 2022
D'Marco Jackson,LB,Appalachian St.,73,233,4.55,33,125,New Orleans Saints / 5th / 161st pick / 2022
Wan'Dale Robinson,WR,Kentucky,68,178,4.44,34.5,118,New York Giants / 2nd / 43rd pick / 2022
Joshua Ezeudu,OG,North Carolina,76,308,5.19,28.5,105,New York Giants / 3rd / 67th pick / 2022
Daniel Bellinger,TE,San Diego St.,77,253,4.63,34.5,125,New York Giants / 4th / 112th pick / 2022
Dane Belton,S,Iowa,73,205,4.43,36.5,123,New York Giants / 4th / 114th pick / 2022
Marcus McKethan,OG,North Carolina,79,340,5.31,27.5,110,New York Giants / 5th / 173rd pick / 2022
Garrett Wilson,WR,Ohio St.,73,183,4.38,36,123,New York Jets / 1st / 10th pick / 2022
Jermaine Johnson II,DE,Florida St.,77,254,4.58,32,125,New York Jets / 1st / 26th pick / 2022
Breece Hall,RB,Iowa St.,71,217,4.39,40,126,New York Jets / 2nd / 36th pick / 2022
Max Mitchell,OT,Louisiana,78,307,5.32,25,106,New York Jets / 4th / 111th pick / 2022
Jordan Davis,DT,Georgia,78,341,4.78,32,123,Philadelphia Eagles / 1st / 13th pick / 2022
Kenny Pickett,QB,Pittsburgh,75,217,4.73,33.5,121,Pittsburgh Steelers / 1st / 20th pick / 2022
George Pickens,WR,Georgia,75,195,4.47,33,125,Pittsburgh Steelers / 2nd / 52nd pick / 2022
DeMarvin Leal,DT,Texas A&M,76,283,5,27.5,106,Pittsburgh Steelers / 3rd / 84th pick / 2022
Calvin Austin,WR,Memphis,68,170,4.32,39,135,Pittsburgh Steelers / 4th / 138th pick / 2022
Danny Gray,WR,SMU,73,186,4.33,34,126,San Francisco 49ers / 3rd / 105th pick / 2022
Tyrion Davis-Price,RB,LSU,73,211,4.48,30,117,San Francisco 49ers / 3rd / 93rd pick / 2022
Spencer Burford,OG,Texas-San Antonio,76,304,5.19,27.5,105,San Francisco 49ers / 4th / 134th pick / 2022
Nick Zakelj,OT,Fordham,78,316,5.13,28.5,110,San Francisco 49ers / 6th / 187th pick / 2022
Charles Cross,OT,Mississippi St.,77,307,4.95,26,112,Seattle Seahawks / 1st / 9th pick / 2022
Boye Mafe,EDGE,Minnesota,76,261,4.53,38,125,Seattle Seahawks / 2nd / 40th pick / 2022
Kenneth Walker,RB,Michigan St.,69,211,4.38,34,122,Seattle Seahawks / 2nd / 41st pick / 2022
Abraham Lucas,OT,Washington St.,78,315,4.92,27,107,Seattle Seahawks / 3rd / 72nd pick / 2022
Tyreke Smith,EDGE,Ohio St.,75,254,4.86,34,117,Seattle Seahawks / 5th / 158th pick / 2022
Bo Melton,WR,Rutgers,71,189,4.34,38,121,Seattle Seahawks / 7th / 229th pick / 2022
Rachaad White,RB,Arizona St.,73,214,4.48,38,125,Tampa Bay Buccaneers / 3rd / 91st pick / 2022
Zyon McCollum,CB,Sam Houston St.,74,199,4.33,39.5,132,Tampa Bay Buccaneers / 5th / 157th pick / 2022
Treylon Burks,WR,Arkansas,74,225,4.55,33,122,Tennessee Titans / 1st / 18th pick / 2022
Nicholas Petit-Frere,OT,Ohio St.,77,316,5.14,24.5,103,Tennessee Titans / 3rd / 69th pick / 2022
Kyle Philips,WR,UCLA,71,189,4.58,33.5,124,Tennessee Titans / 5th / 163rd pick / 2022
Chance Campbell,LB,Mississippi,74,232,4.57,39.5,127,Tennessee Titans / 6th / 219th pick / 2022
Jahan Dotson,WR,Penn St.,71,178,4.43,36,121,Washington Commanders / 1st / 16th pick / 2022
Brian Robinson,RB,Alabama,74,225,4.53,30,119,Washington Commanders / 3rd / 98th pick / 2022
Percy Butler,S,Louisiana,73,194,4.36,31.5,123,Washington Commanders / 4th / 113th pick / 2022
Cole Turner,TE,Nevada,78,246,4.76,27,120,Washington Commanders / 5th / 149th pick / 2022
Chris Paul,OG,Tulsa,76,323,4.89,27,109,Washington Commanders / 7th / 230th pick / 2022
