county_name,state,nchs_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000
Queen Anne's,Maryland,Large fringe metro,49355,8727,17682.1,130,263.4
Clearfield,Pennsylvania,Micropolitan,80216,23894,29787.07,392,488.68
Madison,Montana,Non-core,8218,2371,28851.3,23,279.87
Jerauld,South Dakota,Non-core,2029,475,23410.55,20,985.71
Contra Costa,California,Large fringe metro,1133247,289187,25518.44,1505,132.8
Calhoun,Michigan,Small metro,134473,42048,31268.73,666,495.27
Wilkin,Minnesota,Micropolitan,6343,1913,30159.23,24,378.37
Cotton,Oklahoma,Small metro,5929,1651,27846.18,35,590.32
Grant,Washington,Micropolitan,94860,31022,32702.93,237,249.84
Lexington,Virginia,Non-core,7110,2610,36708.86,34,478.2
Comanche,Kansas,Non-core,1780,544,30561.8,18,1011.24
Greeley,Kansas,Non-core,1200,391,32583.33,6,500
Lonoke,Arkansas,Medium metro,72206,23649,32752.13,269,372.55
Meigs,Ohio,Non-core,23160,6216,26839.38,102,440.41
Cherokee,North Carolina,Non-core,27668,8602,31090.07,137,495.16
Union,South Dakota,Small metro,15177,4323,28483.89,55,362.39
Gilmer,West Virginia,Non-core,8205,2529,30822.67,23,280.32
Sumner,Tennessee,Large fringe metro,179473,64195,35768.61,799,445.19
Kearny,Kansas,Micropolitan,3932,1368,34791.45,22,559.51
Lincoln,Nevada,Non-core,5174,676,13065.33,10,193.27
Polk,Oregon,Medium metro,81427,20158,24755.92,160,196.5
Sheridan,Nebraska,Non-core,5234,1110,21207.49,40,764.23
Jackson,North Carolina,Micropolitan,42256,11901,28164.05,108,255.59
Holmes,Florida,Non-core,19430,6257,32202.78,105,540.4
Dent,Missouri,Non-core,15504,3903,25174.15,91,586.95
Echols,Georgia,Small metro,3994,1049,26264.4,12,300.45
Pierce,Washington,Large fringe metro,859840,241341,28068.13,1581,183.87
New Kent,Virginia,Large fringe metro,21103,5839,27669.05,43,203.76
Jack,Texas,Non-core,8842,1649,18649.63,31,350.6
Haines,Alaska,Non-core,2518,793,31493.25,1,39.71
Doddridge,West Virginia,Micropolitan,8536,2487,29135.43,19,222.59
Anchorage,Alaska,Medium metro,296112,122828,41480.25,598,201.95
Dodge,Nebraska,Micropolitan,36683,11864,32341.96,153,417.09
Cascade,Montana,Small metro,81746,29703,36335.72,373,456.29
Jefferson,Nebraska,Non-core,7188,1425,19824.71,15,208.68
Banner,Nebraska,Micropolitan,696,102,14655.17,2,287.36
Hendry,Florida,Micropolitan,40127,13561,33795.2,173,431.13
Dakota,Minnesota,Large fringe metro,418201,134556,32174.96,882,210.9
Mercer,North Dakota,Non-core,8570,2951,34434.07,24,280.05
Acadia,Louisiana,Medium metro,62568,18642,29794.78,308,492.26
Orleans,Louisiana,Large central metro,389648,111398,28589.39,1187,304.63
Volusia,Florida,Medium metro,527634,147538,27962.19,2277,431.55
Hocking,Ohio,Large fringe metro,28495,8480,29759.61,130,456.22
Bourbon,Kentucky,Medium metro,20144,7688,38165.21,73,362.39
Schley,Georgia,Micropolitan,5211,1387,26616.77,11,211.09
Neshoba,Mississippi,Non-core,29376,12475,42466.64,247,840.82
Wise,Virginia,Micropolitan,39025,13596,34839.21,225,576.55
Cottonwood,Minnesota,Non-core,11372,3714,32659.16,42,369.33
